"entity_id"	"tweet_id"	"topic"
"RL2013D01E001"	"220520345218711553"	"Jokes"
"RL2013D01E001"	"264439486631514113"	"Jokes"
"RL2013D01E001"	"273270295408828416"	"Jokes"
"RL2013D01E001"	"274631663047294976"	"Jokes"
"RL2013D01E001"	"275808005482766338"	"Jokes"
"RL2013D01E001"	"276626411849121792"	"Sharing  pictures/videos of BMW"
"RL2013D01E001"	"278336995607072768"	"Sharing  pictures/videos of BMW"
"RL2013D01E001"	"278338794946699264"	"BMW guide book"
"RL2013D01E001"	"278344625041858563"	"News/comments involving a BMW but not directly involved with the brand"
"RL2013D01E001"	"278358906646970368"	"Opinion about BMW"
"RL2013D01E001"	"278360357888733184"	"BMW parts and accesories for sale"
"RL2013D01E001"	"278360391447351296"	"BMW vehicles for sale"
"RL2013D01E001"	"278364451512664066"	"(Want to) own a BMW"
"RL2013D01E001"	"278375574819442688"	"(Want to) own a BMW"
"RL2013D01E001"	"278380977062043648"	"other topics"
"RL2013D01E001"	"278388598586343424"	"other topics"
"RL2013D01E001"	"278393873821208576"	"Sharing  pictures/videos of BMW"
"RL2013D01E001"	"278400052760834048"	"Internet forums about BMW"
"RL2013D01E001"	"278405035589767168"	"BMW car advertisements"
"RL2013D01E001"	"278409821294825472"	"BMW vehicles for sale"
"RL2013D01E001"	"278412902535397376"	"(Want to) own a BMW"
"RL2013D01E001"	"278421490293161984"	"Sharing  pictures/videos of BMW"
"RL2013D01E001"	"278430146921365504"	"New products"
"RL2013D01E001"	"278436593566629888"	"BMW parts and accesories for sale"
"RL2013D01E001"	"278439940587659264"	"Comments about BMW workers"
"RL2013D01E001"	"278449528175198208"	"Comments about people who drive/own a BMW"
"RL2013D01E001"	"278463353230327808"	"BMW 40th anniversary"
"RL2013D01E001"	"278469589627727872"	"New products"
"RL2013D01E001"	"278474434577330176"	"Jokes"
"RL2013D01E001"	"278492344712585217"	"BMW Third Most Valuable Automotive Brand of 2012 According to Interbrand Report"
